GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
0.0,0.0,0.0,0.0,0.264034152106065,-0.021451881275740818,-4.422840433022704,-1.5260784510886491,2.3846291341360124,0.017061114823598376,23.706565716389516,24.90154801432162,25.381042099073266
1.0,0.0,0.0,0.0,1.26315819462787,-0.05686390004389562,-4.142194944115986,-1.6986767244460987,1.436735972579592,0.23883245555906202,22.386808154824198,23.744129693542106,25.2582818842344
2.0,0.0,0.0,0.0,2.178192608052864,-0.08044799964795692,-3.7328524030537804,-2.185476048373736,0.21652015292593413,0.499410019598855,20.69601833526246,22.557411165519216,25.003004534048433
3.0,0.0,0.0,0.0,2.660834376658899,-0.09362617676211177,-3.2515469832041486,-3.3583067491834475,-0.9096795537617395,0.6711897149780284,18.543859670378165,21.660178605052764,24.562499293402276
4.0,0.0,0.0,0.0,2.8387072365382604,-0.06202608988199417,-2.5155006393475214,-5.162192590372093,-1.6745472217543094,0.3733641722627873,15.927255579835967,20.965638620804356,23.987599027429283
5.0,0.0,0.0,0.0,3.218666790602915,0.15002158120856404,-1.4850735922052947,-6.916850566709353,-2.0291302299451153,-0.6475626408636811,13.267233487481107,20.160901489294176,23.50136443376784
6.0,0.0,0.0,0.0,4.086381355431311,0.5359103319853263,-0.3942941773336107,-8.074123244727797,-2.198601756517325,-2.113249766824563,10.986972725982218,19.13598278791714,23.256911017135284
7.0,0.0,0.0,0.0,5.318694075523617,0.8939650489151592,0.5411663581565,-8.70774051554724,-2.277948647974284,-3.517819823911918,9.064728000925674,17.924375140318418,23.188238942508953
8.0,0.0,0.0,0.0,6.666564217545315,1.1505270018630218,1.3361732121444647,-8.957965909710104,-2.2972029461915984,-4.641235239265197,7.459963186417486,16.608650338886008,23.145480007714575
9.0,0.0,0.0,0.0,7.899888248452957,1.351495879618773,2.0787310784798008,-8.930466531109978,-2.3278070306422878,-5.489704550541594,6.150148287890932,15.286788130843007,22.99372708657476
10.0,0.0,0.0,0.0,8.859941821422844,1.4959599812689546,2.7485001463969714,-8.747713318936894,-2.4854613784422295,-6.066471026463311,5.083072264886595,14.041098832292128,22.642342249824818
11.0,0.0,0.0,0.0,9.5362557036475,1.5737131548358088,3.3928476642439866,-8.434187065611935,-2.8219912839318897,-6.4107613977820215,4.246252906365149,12.883264286410473,22.08078083871272
12.0,0.0,0.0,0.0,10.00981369962739,1.596336108703551,4.108184254892932,-7.987299835610944,-3.3147783135616984,-6.556485471640756,3.6276482689194913,11.784821691753026,21.364205770808876
13.0,0.0,0.0,0.0,10.317388210154892,1.5625153423114064,4.816041284372719,-7.445893823458366,-3.882085492119659,-6.490474818358597,3.1644357679919284,10.733031602675476,20.520737123513996
14.0,0.0,0.0,0.0,10.439364776274687,1.5144210277082322,5.300640996853681,-6.873279546208455,-4.421730601574334,-6.185230508717704,2.7999878301249512,9.749383771095669,19.57413100650806
15.0,0.0,0.0,0.0,10.424446672538759,1.493105825673928,5.40560894089789,-6.287847569259341,-4.873372542261633,-5.7034191124654905,2.506240501559687,8.838772545532906,18.61231567419067
16.0,0.0,0.0,0.0,10.347539657907769,1.5208858219191606,5.246517239359699,-5.680939721532017,-5.229856716115922,-5.182773657778248,2.272671561040847,7.977730436293817,17.673603594161605
17.0,0.0,0.0,0.0,10.2293162189178,1.6034642388064795,4.99401884040229,-5.053851371623024,-5.507768912891982,-4.702999442730282,2.08152019690808,7.144824648576842,16.729873311159864
18.0,0.0,0.0,0.0,10.076983856438,1.7156853326529162,4.729006572250158,-4.433643353311575,-5.704452987167327,-4.283682529861966,1.9146512051904498,6.34107251126101,15.797641351611762
19.0,0.0,0.0,0.0,9.881896170367293,1.8114548961027426,4.5301587317059875,-3.8522286042702203,-5.815661912967124,-3.9482151790959787,1.759365823086116,5.592274265859405,14.873504580391252
20.0,0.0,0.0,0.0,9.633586323109714,1.8656330128490524,4.444390045499272,-3.314564373965472,-5.8627494920678735,-3.6918133114278393,1.6091419522659798,4.8941500920013885,13.938968633188779
21.0,0.0,0.0,0.0,9.331771605496733,1.8888130224215773,4.452002182120447,-2.811413264515863,-5.879380008542028,-3.481059458766159,1.4658665429399416,4.240502571771241,12.985006987549328
22.0,0.0,0.0,0.0,8.993808751617493,1.8964762193042946,4.500226564406316,-2.3234285577157134,-5.885816456481994,-3.2829389150150106,1.329213408034496,3.6087864954543636,12.016505982312859
23.0,0.0,0.0,0.0,8.632441609898311,1.8981703041623652,4.533619095361896,-1.8413991342201064,-5.888076470946562,-3.067894152773019,1.1990476370813412,2.993067099470178,11.043176983273005
24.0,0.0,0.0,0.0,8.254935400269801,1.895335261749838,4.517015657482546,-1.3630251825409758,-5.888494376034749,-2.822527739681949,1.0760265038686814,2.387688196734458,10.06840721792278
25.0,0.0,0.0,0.0,7.869872804567243,1.8859222289175679,4.435736897993243,-0.8865392926970345,-5.886655412928411,-2.54415287963413,0.9587396517509775,1.7920725564041682,9.1012640708393
26.0,0.0,0.0,0.0,7.485560662359908,1.873594220538722,4.298270628314817,-0.4122702605532948,-5.881513922091517,-2.238834170976617,0.8434206571509449,1.1996451576324663,8.145517447796301
27.0,0.0,0.0,0.0,7.110741675077346,1.8619603812269692,4.132570275193792,0.06262559303652249,-5.8711577881827015,-1.9284356548255615,0.7317194636028379,0.6093963350703897,7.204789153536369
28.0,0.0,0.0,0.0,6.744523882314411,1.8537522709605392,3.973027773687596,0.5331217512827444,-5.856498965336055,-1.6396741161855337,0.6239140484369952,0.025180608878049168,6.279546007981175
