GaitCyclePercent,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot Angle,L_Foot Angle,R_Shank Angle,L_Shank Angle,R_Thigh Angle,L_Thigh Angle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9638540495299857,4.078174992734496,2.406211760407257,2.7041194292411483,3.6222348978403507,5.800698555871594,3.962292830681793,4.168036853007898,2.9320758029775336,3.350681259404791,4.007914275347948,4.347927861592379,5.121996331709777,4.119711766709641,2.724977538772638,3.1219511746775983,1.4714602517441215,3.5200347204519034
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2371581703047085,4.206650540695637,2.414262319062278,2.716691691879714,3.9031323722404845,5.616893647257487,4.023520021474705,4.181711104215809,3.0524866652118203,3.212888559988003,4.023071206542227,4.386361310291158,5.527496836846343,4.381895716815374,2.9086111080606343,2.9447135009026164,1.4670424455133118,3.6101834750327204
2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.530648953692862,4.439556523397334,2.372816020572322,2.7545759532128065,4.026173882011354,5.491984907726904,4.125721724468218,4.212691122194491,3.024671209553064,2.848667853191128,4.038813515776599,4.444291832537547,5.772778197421209,4.663275976095209,3.0271675193977687,2.8249186999314895,1.5130132042470505,3.742488787649402
3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.780909012658842,4.549000450538442,2.2841419844903723,2.826445796765855,3.9020321750831153,5.3905711207340605,4.424571297652035,4.3924146555373405,2.9081630631684803,2.3638894832256843,4.050395721305129,4.5076575752206995,6.062976657791875,4.998678637386197,3.0705622954167864,2.71450434904028,1.6276345670291108,3.899092136832317
4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9979458011774303,4.503710785911665,2.233633931148668,2.884263517716298,3.683737697497004,5.384539900148764,4.620559686102757,4.7472590809679165,2.758151122026293,2.0828035469052946,3.8440445198553403,4.60568794681103,6.29921940295321,5.351528600755151,3.0571043786611427,2.686034693565845,1.7849037199723434,4.0364514065730255
5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4273698047639765,4.480650853591539,2.35795443378839,3.0312759000129246,3.620041173134987,5.566068342673105,4.2315449198691,4.802433361104487,2.650132784551892,2.0959709701940055,3.624145013058053,4.743727726441792,6.176090608955377,5.506043314789782,3.118356214510567,2.6690339447400118,2.05004708009045,4.076459728931128
6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185033727825301,4.6434536968007345,2.5662314097979078,3.2872289455210018,3.4623419132783226,5.752765713165393,3.389560722104178,4.306964948011837,2.5351081496747847,2.112446968094997,3.70894094985938,4.9374702044713406,5.786415382097587,5.259963795426776,3.2513969038506345,2.671112290266115,2.4885154190711964,4.0712675572742745
7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.057477750414238,5.062224899944026,2.6728743012710785,3.443815479309196,3.166622332074953,5.777467733799364,2.7082127540056784,3.5385053180529757,2.3889408565446675,2.007535965271794,3.822834107599278,5.041498140367435,5.441730227532126,4.762790650144228,3.4510898548063027,2.7082439762850146,3.003507277324171,4.193350337024875
8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.765021279291783,5.511591168162277,2.706965888033031,3.459311081272886,2.996981092697612,5.602900503554953,2.321028481408365,2.891072328856832,2.321390699525434,1.8339188662883525,3.972355968408017,5.123941203684213,5.05873228449936,4.251706468959093,3.6166648713278384,2.771481485540408,3.4184088031125093,4.39333836609034
9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2167326229783715,5.8150618445651086,2.7835635026204253,3.489703198575133,2.9564929876289545,5.4275981567408875,2.154210618982087,2.39604989866799,2.3814022460111097,1.6724936199645286,4.231275052349231,5.250271036704894,4.610747424133519,3.8137506070999105,3.74557824989511,2.7970177441479858,3.678667226506402,4.565746062500732
