GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
0.0,0.0,0.0,0.0,3.378591074051379,2.7668670744823034,5.126249838820579,4.103330577912433,3.253438801337007,4.251590203900758,4.46940266748784,3.0043235390939675,2.947472821855943
1.0,0.0,0.0,0.0,3.535700103615913,2.7842464041960873,5.083742749268956,4.156740636001188,3.21207700986964,4.301235529473944,4.7893527315187185,2.9724355518316234,3.001177055890626
2.0,0.0,0.0,0.0,3.776234178176619,2.80365267791544,5.032543843334266,4.236291628048981,3.000999368352068,4.367521506812972,5.051709189060193,2.957896676046791,3.0987068261244746
3.0,0.0,0.0,0.0,3.918815862821461,2.8243131935187855,4.918903416469542,4.467405098800475,2.721310771077931,4.443625623751344,5.363507483912654,2.9133957848454726,3.2329899770570885
4.0,0.0,0.0,0.0,3.9463763932358766,2.83559136671152,4.838955366902353,4.746835775813576,2.545176539901312,4.4666067564298215,5.658628491651639,2.89170946885292,3.370158214055622
5.0,0.0,0.0,0.0,4.060091985292969,2.9585468141594617,4.938809972234144,4.631727404415206,2.5374965181660696,4.49053127702244,5.692654260152345,2.9116064257000174,3.4612528947628443
6.0,0.0,0.0,0.0,4.42040085071161,3.192560908721932,5.035556993979842,4.025783941345106,2.534653691109432,4.619694136232672,5.390202031246174,2.971051974203786,3.562774797003757
7.0,0.0,0.0,0.0,4.998859149485549,3.3289473937302736,5.017968161443114,3.296925359051799,2.458019890123282,4.691081004542446,4.960826817592423,3.078660140909178,3.7886826362098422
8.0,0.0,0.0,0.0,5.540581025824506,3.333053074159291,4.88855305112281,2.739434822263595,2.367929903280575,4.7804496948762365,4.512412490554141,3.1895714416815255,4.046099990367503
9.0,0.0,0.0,0.0,5.899661360037882,3.3448852204966775,4.768948541379009,2.356830336966413,2.331181611946642,4.958812026731951,4.081564443334815,3.263947148296126,4.234675345386738
10.0,0.0,0.0,0.0,6.043678522549361,3.3653405882190564,4.705130860532643,2.122375818267045,2.342735337321838,5.136067752106882,3.709252459846444,3.288094618238584,4.31789673157344
11.0,0.0,0.0,0.0,6.043015053448011,3.3488643074156172,4.671528353360351,2.011913713498751,2.3640497399264326,5.251658832944817,3.3777646862160116,3.2851293910425867,4.344832905286137
12.0,0.0,0.0,0.0,6.014439433133117,3.320886972657879,4.718408417423913,1.9807536936189278,2.3772423880751674,5.375875287763237,3.08066167032994,3.280823961048942,4.384880946371858
13.0,0.0,0.0,0.0,5.998794725644737,3.2800861772637933,4.842248178703811,1.9933620324650136,2.3629206982550524,5.554081745706614,2.830072088235417,3.2859026641491007,4.416833230387982
14.0,0.0,0.0,0.0,5.974269224103948,3.236532018650424,4.989042729336248,2.0310263502530534,2.3199750684465323,5.720022540083143,2.6309651692768083,3.289078073406582,4.4049737669908025
15.0,0.0,0.0,0.0,5.944329773052687,3.204306829272283,5.060198578524413,2.0834874511964094,2.250916519993813,5.7753770431624325,2.482045885335942,3.283579527418659,4.3705620606706415
16.0,0.0,0.0,0.0,5.914888659659966,3.1786531583980957,5.064248799193943,2.1261377233357877,2.1855442047310123,5.672453061841701,2.378182214620931,3.256738193242989,4.310104078115757
17.0,0.0,0.0,0.0,5.8678324795311605,3.149594280076455,5.041873169205428,2.144711745988048,2.1382096081295368,5.444514245579554,2.3046719541066176,3.1888848068190323,4.229321310194223
18.0,0.0,0.0,0.0,5.802777136120198,3.1138340694171367,5.02879956732638,2.1673100796048153,2.1076980007510953,5.194608312162074,2.2531475844892306,3.099511089499804,4.13698407033199
19.0,0.0,0.0,0.0,5.713178569766572,3.0662939710421213,5.045955794667292,2.19572818693688,2.0931879447283785,5.012601691741145,2.2177683555617334,3.0154886482229517,4.039990137306699
20.0,0.0,0.0,0.0,5.592485741723042,3.002907579419292,5.0652164116319325,2.2203198554258727,2.088725533983172,4.921593721771702,2.1923713808313323,2.9476221281824606,3.9359032594616306
