GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,11.144039047619,10.8948378571429,0.281741857142857,0.660265542857143,3.29500845952381,2.95478345238095,31.4314547619048,30.7874595238095,-1.47013261904762,-1.1129489047619,-2.80502669047619,-4.01809197619048,2.54475123809524,2.20107463880952,1.06762105047619,1.56905241904762,-20.4251630952381,-18.6617705,1.92231588809524,2.34251067380952,7.16849747619048,4.49310801666667,9.13919492857143,10.7301826190476,22.3108880952381,21.7160523809524,6.96300119047619,4.79816605380952,-11.4152742619048,-9.28378642857143
1,11.0639689047619,10.8054797619048,0.407645311666667,0.779426571428571,3.50521175952381,3.14346283333333,31.281069047619,30.6506952380952,-1.2633977547619,-0.914911616666667,-2.72651011904762,-3.95683766666667,3.52463286666667,3.24347285714286,1.13506462619048,1.60655628571429,-20.6473888095238,-18.7409878571429,1.60485487857143,2.03153446904762,7.07050595238095,4.39648897619048,9.17399852380953,10.6952114285714,20.8855357142857,20.2549047619048,7.23487940476191,5.05239795238095,-11.2830187142857,-9.11817952380952
2,10.9755248571429,10.7136721428571,0.582049571428571,0.944073897619047,3.66833047857143,3.28613881904762,31.0843,30.4614214285714,-0.971667642857143,-0.637318854761905,-2.58964121428571,-3.84231061904762,4.70980611904762,4.46316701190476,1.18757592619048,1.62674128571429,-20.8777942380952,-18.8806288095238,0.760584714285715,1.19667795142857,6.76020995238095,4.11847257142857,9.17628514285714,10.674841,18.6213547619048,17.99278,7.46791889761905,5.28689461904762,-11.1176252380952,-8.93212907142857
3,10.8856741190476,10.6246821428571,0.81440685952381,1.16547614285714,3.77175545238095,3.37125848809524,30.8359547619048,30.2161071428571,-0.607665214285714,-0.286937030952381,-2.36465459452381,-3.64310276190476,5.88974233333333,5.66438535714286,1.22935635880952,1.63618312619048,-21.1300795952381,-19.0995985714286,-0.633799573809524,-0.174529595238095,6.28098242857143,3.67486588095238,9.12352404761905,10.6513918333333,15.7211654761905,15.1173292857143,7.67749825928571,5.49019395238095,-10.9224126190476,-8.72637754761905
4,10.7987276428571,10.5401559523809,1.10902615714286,1.44929533095238,3.80080573809524,3.38569959047619,30.5635380952381,29.9463071428571,-0.19134604047619,0.120122066428571,-2.03548792142857,-3.34231940190476,7.00991323809524,6.80711638095238,1.28819760952381,1.66255353095238,-21.3347018095238,-19.3054076190476,-2.24553321428571,-1.75487257142857,5.67989522380952,3.09835104761905,8.96397607142857,10.5496038095238,12.598685,12.0240588095238,7.77917197619048,5.573857,-10.6801152380952,-8.48283712380952
5,10.7132315952381,10.454719047619,1.45958048809524,1.78951195952381,3.74567876190476,3.32132221428571,30.3208452380952,29.7074357142857,0.254309669047619,0.560882741190476,-1.62575930952381,-2.96481210238095,8.19954873809524,8.03351735714286,1.41915263809524,1.75950168571429,-21.308351502381,-19.2830111904762,-3.54319266666667,-3.02406028809524,4.948228,2.40579369285714,8.59465527380952,10.2289830238095,9.671475,9.12588452380952,7.60496714285714,5.4034499047619,-10.3684304761905,-8.18649733904762
6,10.6223502380952,10.3575678571429,1.85019404761905,2.17027176190476,3.60775530952381,3.18021938095238,30.1582452380952,29.54445,0.715521626190476,1.02016623809524,-1.20303328571429,-2.57979637619048,9.62817435714286,9.50651264285714,1.66686627619048,1.96709155714286,-20.8772318809524,-18.8468611904762,-4.15196930952381,-3.61665085238095,4.06750002380952,1.60518606428571,7.92559804761905,9.57702571428571,7.17711190476191,6.66826285714286,7.04929,4.90871173809524,-10.0121721428571,-7.86965321428571
7,10.5178420238095,10.2383023571429,2.26184630714286,2.57335,3.40139038571429,2.97596864285714,30.0794833333333,29.4507047619048,1.19574007142857,1.50101590714286,-0.854577071428571,-2.27243624285714,11.3176890714286,11.2281465714286,2.01486361904762,2.26609211904762,-20.0274390238095,-17.9929347619048,-4.01453604761905,-3.47640023809524,3.07670973809524,0.727896357619047,6.98008140476191,8.6273804047619,5.20419571428572,4.74293707142857,6.17299685714286,4.14658826190476,-9.67838095238095,-7.5956675
8,10.395107547619,10.0908887142857,2.67731407142857,2.98020790476191,3.15105388809524,2.73234671190476,30.02035,29.3528428571429,1.70713876190476,2.01231669047619,-0.643310238095238,-2.10226205523809,13.115136,13.0274646190476,2.38956861904762,2.5870015952381,-18.9326457142857,-16.9101502380952,-3.30802915714286,-2.77708242857143,2.06041085,-0.168789183333333,5.92782611904762,7.57432,3.74556508571429,3.33840242857143,5.14840993571429,3.25926611904762,-9.41749523809524,-7.40501054761905
