GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,6.00352452415583,6.09196582684013,2.13748252086644,1.73996383006036,2.80457043814686,3.49863536058907,7.58414640476298,7.7169400192696,3.44099111726345,2.92643604838982,5.44795731944619,5.63842707407644,4.7122171520692,5.01960333801347,3.44058066480488,2.98019170012352,9.10507367766482,8.94251578068361,2.86464126932587,2.96243764236888,4.50215904349243,4.14946737778292,6.13649670224805,5.64420576603189,3.51833359704544,3.96182905925411,4.04393520453096,3.94814719737097,5.61172790065056,5.2443278808353
1,6.00616424406536,6.0963669790984,2.16681434114345,1.77166082082439,2.81931321988684,3.4899201110377,7.54563179376435,7.70420925310226,3.380672507886,2.84392340006245,5.43457651044284,5.64389469492885,4.50789268203505,4.78203343111509,3.39895375138949,2.95856833439389,9.10594997832982,9.06645889654011,2.86636454278861,2.86381016441882,4.4386937147643,4.16281922977734,6.12079946355901,5.65109614153796,3.47253462058082,3.89904257972561,3.95989675170896,3.87485234932086,5.47547139990804,5.21716738835331
2,6.01152013202382,6.09662376800453,2.19607708003748,1.80439737665805,2.81953599058297,3.46093202953909,7.51538507226278,7.69039622812942,3.30748751593786,2.74959976220439,5.3967158431736,5.64632936237956,4.3996863610535,4.63217030933089,3.34844234215081,2.94202638412958,9.05610791201247,9.21072488773535,2.91711689862011,2.74350721766099,4.32766871345989,4.12687355415248,6.04776584474297,5.56901900683652,3.41031400551273,3.78593383906476,3.83233823827486,3.74403884163086,5.35826748896404,5.18307687875178
3,6.02263039239257,6.09445263638293,2.22220881270293,1.83782616245499,2.80929961290166,3.4170024621677,7.50647779598142,7.68860666134473,3.23273596371711,2.66055389408455,5.3320053238506,5.63071700626061,4.4192914452683,4.61563888185032,3.30362277930183,2.93294887163633,8.98575007461513,9.36775897670447,3.03042186477268,2.65497545534881,4.18399122424847,4.09950077682533,5.96337665650073,5.44182266632562,3.28437369258841,3.57497793028862,3.69185251484379,3.65268726793522,5.27294711631586,5.15792084714435
4,6.04350227859816,6.09424409319277,2.24250492369528,1.8727485687293,2.79311269008034,3.36388856293247,7.53291559930936,7.71394284211461,3.16636285911857,2.59254546791526,5.24865088403933,5.59835055752768,4.57377806847862,4.74764889540333,3.26362493157753,2.92636500287918,8.94297456243617,9.52189265869995,3.17577368695539,2.6511054369999,4.02175153603294,4.09245608379568,5.93633713946731,5.33095011452837,3.06752859263534,3.25389197910426,3.55058836114704,3.6441927670364,5.23822616005496,5.1393034636067
5,6.0758156574181,6.10101598857381,2.25736782980097,1.91098595869768,2.77403993030561,3.30585271035031,7.5993483756657,7.77469970380227,3.11500208919077,2.55534442070121,5.17073644003147,5.57218124746299,4.82288571161707,4.99073454197283,3.22084845236881,2.92129665094565,8.93967386912365,9.6224201561861,3.31347498543084,2.74219650467138,3.8670044300872,3.99937842042065,5.97144176808945,5.27733873783575,2.80443284005897,2.86621089499045,3.41200322139876,3.59524771487167,5.23641881422136,5.10674296129174
6,6.11597894389193,6.11695735697028,2.27235306397938,1.95389722597567,2.75306517957579,3.24416639706493,7.6946356291235,7.86926019562598,3.08304037617203,2.55126320127266,5.12967815780905,5.58366902202768,5.08142571691347,5.27444581181209,3.17612721740187,2.92526187086938,8.93087261943506,9.58568182466552,3.3922069212647,2.87824034584871,3.76344638361893,3.7687169697343,5.98781586531814,5.27308807865138,2.54533265097956,2.46268380823896,3.29557271037905,3.40495407727995,5.2250579721179,5.05598835515119
7,6.1573709697199,6.1403898182495,2.29571609250075,2.00214343368166,2.73017856366542,3.17729327086615,7.79906475703014,7.98944064841907,3.07431880307575,2.57663263265135,5.14257102304698,5.64495713781318,5.27351813246796,5.53854561820137,3.14260495423042,2.94952171548158,8.86901516427649,9.35245769866761,3.38227448644112,2.98896726921178,3.73771560431875,3.49118226294689,5.91528087857679,5.27408426461033,2.29170017760927,2.07510002234091,3.2318361331186,3.11742984931835,5.1843618928371,4.99567383497102
8,6.19468602190217,6.17048833889872,2.33360923256497,2.06034087042602,2.70599122556219,3.10312068274205,7.89638709346737,8.1235782042495,3.09321009565307,2.62764450128931,5.19883416122545,5.73808802278656,5.36084332505622,5.74639757934329,3.13836447859768,3.00194098057512,8.7641721799943,8.95854463465494,3.29872687039155,3.03571748170132,3.75174964857173,3.28668188754818,5.77372950743389,5.2734601122709,2.03817330437521,1.72862446274202,3.19522985651916,2.83447830363286,5.12610098646336,4.93430838486441
