GaitCyclePercent,R_Pelvic Tilt,L_Pelvic Tilt,R_Pelvic Obliquity,L_Pelvic Obliquity,R_Pelvic Rotation,L_Pelvic Rotation,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot DF/Plantarflexion,L_Foot DF/Plantarflexion,R_Foot Inv/Eversion,L_Foot Inv/Eversion,R_Foot Int/External Rotation,L_Foot Int/External Rotation
GaitCyclePercent,RPelvisAngleZ,LPelvisAngleZ,RPelvisAngleX,LPelvisAngleX,RPelvisAngleY,LPelvisAngleY,RHipAngleZ,LHipAngleZ,RHipAngleX,LHipAngleX,RHipAngleY,LHipAngleY,RKneeAngleZ,LKneeAngleZ,RKneeAngleX,LKneeAngleX,RKneeAngleY,LKneeAngleY,RAnkleAngleZ,LAnkleAngleZ,RAnkleAngleX,LAnkleAngleX,RAnkleAngleY,LAnkleAngleY,RFootAngleZ,LFootAngleZ,RFootAngleX,LFootAngleX,RFootAngleY,LFootAngleY
0,6.08810533152525,6.24528264019382,2.05959979255226,1.56597660899034,2.29149882139212,2.99327057596366,7.74510493629204,7.95073679476964,3.33602695692565,2.71232490696794,5.32721379304357,5.62234424213635,6.24943879040685,6.53033713471148,3.39221238465558,3.06323219711847,8.86114890126999,8.71720085546604,3.49112492333133,3.19603780398903,4.34172814348872,3.87433332931388,6.13486049062388,5.5392253561917,3.7492074709322,3.89578496490038,3.92532143450309,3.41868984167574,5.81802581604375,6.01358215482155
1,6.10229142856593,6.24005192975332,2.07007418035396,1.56513766807967,2.28823478709632,2.95812307133337,7.72660274061565,7.94159052868773,3.27690507511317,2.64577034332521,5.31155028187662,5.63550355975022,6.0601788315512,6.42602631828431,3.34734167841468,3.03963888999655,8.7960963736776,8.72686295460242,3.40756915789653,3.1794164377435,4.23488992825279,3.87187892135728,6.15146280769858,5.437547696316,3.59699216663118,3.79723111050937,3.73794971913536,3.33308223139701,5.54330763795312,5.93282523978029
2,6.11893916935098,6.23081504812546,2.07858074550004,1.5657336143734,2.29362615377798,2.9205009772121,7.73175484675011,7.95134871154511,3.21406975836536,2.58600012394233,5.28601446509814,5.62840032128172,5.99828478678501,6.4287646030973,3.31208014520789,3.02302512411512,8.64017712598983,8.69341528200212,3.43421652046715,3.30458518167101,4.0954489005878,3.87770103524979,6.07024050300235,5.27490327213015,3.36741071004029,3.61739805535269,3.48586408020478,3.31846307875263,5.31077168041827,5.87053140357057
3,6.1417190968343,6.22336995773976,2.0883644740049,1.57139079706116,2.30703482522096,2.88571138936092,7.78373895910918,8.00922366174971,3.16417504890177,2.54910478145332,5.25228227043816,5.59919302280995,6.16573990760169,6.64025989711413,3.29491729881843,3.00973493161903,8.40935143165644,8.64098283703434,3.64717151104218,3.60275432587936,3.99500618651874,3.85924007753752,5.95469433293663,5.11691857117275,3.0719018615415,3.33458340194438,3.28867453881029,3.36239555773801,5.18320544840945,5.84001703111512
4,6.17570983137347,6.2244825192554,2.1013767818671,1.58971207020802,2.32304767237337,2.85513939865621,7.88960499448307,8.12395854764225,3.13596237745828,2.54661866006362,5.21989249510793,5.5706985492319,6.51917253820221,7.03635951811577,3.2817649414156,2.99631989938683,8.17367561760599,8.61560848816324,3.94078006582715,3.9401327214466,3.9356927492864,3.71469783898085,5.88595271718635,5.03031060558975,2.76195917898943,2.95776592220906,3.17222265529044,3.29571359451353,5.15914218925116,5.80196921006292
5,6.21834484894869,6.23602599825695,2.12310908803722,1.62663582420981,2.33429845219602,2.82660897215723,8.03059665736676,8.27840357022159,3.13369657905327,2.58093207349438,5.19921006830692,5.57378775326344,6.9152310225557,7.49991824247137,3.26538511626285,2.99146004173162,8.01632200031795,8.6177797899429,4.19669261544659,4.23496390405089,3.89399609544491,3.45975096027825,5.87357625616856,5.05301732648495,2.47873356303177,2.51942433664502,3.10862477419749,3.06108702925843,5.15474607057969,5.71361452098535
6,6.26327637249907,6.25315734174416,2.15803813531905,1.68293506215922,2.33535979314243,2.79690998846984,8.18192194647123,8.44632229442418,3.15460443492837,2.64673170079309,5.19330648213195,5.61542484126272,7.2426738142064,7.93054578104327,3.24722428942898,3.00481899616733,7.96297701040991,8.57932007784129,4.345293219856,4.46295057935066,3.86857080467615,3.25265436929125,5.82364089241042,5.12685042155796,2.1961308417962,2.06090411608915,3.07426034576515,2.77795702987754,5.11000576229139,5.58526887601308
7,6.30524491277301,6.27051746843423,2.2054945578235,1.75335914899211,2.32424163544492,2.76418346143954,8.32530019357144,8.60750561643484,3.19085734841831,2.73229018193984,5.19610240707969,5.67149960234953,7.45761203576871,8.26809718384671,3.22580012307484,3.03561781143539,7.98827464433956,8.45133165757682,4.3828863341399,4.60457921766053,3.84528416894328,3.18344161507112,5.68138736834369,5.1668789129486,1.90721519509709,1.6431486499277,3.02589881377656,2.56692815869591,5.04261661786032,5.46448058470585
8,6.340686082317,6.28467900812578,2.2588611895097,1.82245660999053,2.30270589232256,2.72964405665441,8.45147321440773,8.74754493672514,3.2367084938505,2.81550080358606,5.19798639097183,5.72041401266822,7.56978637827932,8.4965271156993,3.2019538543064,3.07453369379424,8.0729801182936,8.27738781324132,4.35553665145458,4.66301900651871,3.80668774486226,3.19216777878381,5.53209948394392,5.18788253923517,1.65464201411785,1.31964580082987,2.93982591017684,2.44137615204416,4.985181927696,5.3901478661553
9,6.36980729506963,6.30007176679502,2.31063276247038,1.89136977800894,2.27654573735348,2.69713386003271,8.55539507817114,8.86395446767935,3.28529483038702,2.89037999023998,5.19081671127787,5.74713009641036,7.61537208671323,8.63447238187861,3.18046365712943,3.11102165000788,8.2021806151258,8.13361846757821,4.30523880434547,4.66185885703921,3.74931086669254,3.19239722913604,5.51095419727362,5.25466620695483,1.46892402147509,1.11151076079171,2.82770477325082,2.34680030459113,4.95023425671834,5.36350440172887
